feature,mz,mz max,mz min,mz std,rt,rt end,rt max,rt min,rt start,rt std
FT-057,1179.2722036799555,1179.3415370035414,1179.2139907053818,0.03427495720893025,1244.8326705685627,1260.2540539156994,1247.2750431006125,1242.2433003120477,1231.9048456991884,1.2191820975445251
FT-058,1078.208562682587,1078.2724700812462,1078.1553836436537,0.030790255892165566,1212.3710107648494,1237.6268490501072,1214.7245810620668,1210.068312567409,1196.383045030678,1.193813684743503
FT-059,1223.7919594716086,1223.8635611861732,1223.7311229497138,0.034714407741325934,1257.9046668683316,1269.0074929226648,1259.7077123351041,1255.611618909438,1246.198078112655,1.0683033401089197
FT-060,1251.815294797806,1251.8928041654049,1251.7555207167077,0.03875550711019304,1252.0156980757833,1259.4881563062756,1254.194200130937,1249.5033644892535,1243.0116841700158,1.2070818965472034
FT-061,1251.8151979857469,1251.8899516831436,1251.7537803186049,0.036554332376506835,1273.952845715492,1294.2930943032966,1276.2735285482117,1271.5526707894805,1260.9871710901643,1.1583630305238604
FT-062,1078.7137699060681,1078.7768977297499,1078.6606048411224,0.030650287294834405,1212.1759527027516,1230.5396418417658,1214.4559206074891,1209.787676317876,1197.3987579345717,1.2388468855173635
FT-063,1149.7527620467906,1149.8187882192658,1149.690158497745,0.03275342433289506,1199.6277335319141,1211.340092005355,1201.7405156059112,1197.2342172171689,1184.739180146977,1.1315627824245194
FT-064,1149.7500936653876,1149.8156497776843,1149.6911692399553,0.033446655379542306,1245.272856166862,1264.3367644279238,1247.3079307712105,1242.858343825742,1228.9963999102195,1.1708697508969959
FT-065,1149.7477835102598,1149.8144632764945,1149.685681984192,0.03250784537026783,1279.935188473766,1290.790366661261,1282.5930344589015,1277.339259704826,1271.8166430403594,1.2261011409371214
FT-066,1150.2523051364863,1150.3219915217664,1150.1924882958133,0.03274777404641246,1199.6136168612857,1211.804089112715,1201.579446951864,1197.0687593819969,1184.1168776425466,1.0672118534282304
FT-067,1150.251969729645,1150.3180018976263,1150.1929894102261,0.033747816999069404,1245.3086840060384,1265.5461034467148,1247.4885199904472,1242.940885817954,1227.8460459555374,1.1741079896181184
FT-068,1150.2524730526775,1150.3175604084613,1150.188700028146,0.03307233408884983,1279.7884240559065,1291.1614973466476,1282.297445204404,1277.0675088026385,1271.432436429538,1.252126286661389
FT-069,1150.7568385346326,1150.8215253510546,1150.6976302094158,0.03480523539913135,1199.4452906242605,1210.6137862572284,1201.2154408063195,1197.1823084180112,1184.9031991225047,1.0329515176038833
FT-070,1150.7538104465407,1150.8205810906823,1150.695729566452,0.033351467134590654,1245.2881515322938,1263.9656129090667,1247.3943959348544,1242.8015662893758,1229.169060665631,1.1577912518482407
FT-071,1150.7515985354444,1150.8216637168111,1150.6946579570076,0.03290010277920914,1279.6007579597722,1289.9491491550348,1281.8612304005794,1276.882566964393,1271.0001140687532,1.1438663349396818
FT-072,1252.819559504331,1252.8923288346316,1252.7474352137208,0.03602344195314453,1252.123154423304,1259.3410013682799,1254.3494914890537,1249.7181801223417,1244.226415264071,1.2333870429369767
FT-073,1252.8205095026694,1252.8927190429526,1252.7570309093383,0.035947453082434716,1273.8171727926933,1288.2634181766712,1275.9684910424037,1271.3181247571324,1262.248121408315,1.1541148926103488
FT-074,1178.7694962544108,1178.8389828026638,1178.7095364682805,0.03467863044869053,1244.8608776216843,1262.696978661322,1247.2705609836567,1242.3019230957232,1231.0310019216245,1.2087826948352671
FT-075,1076.704086348371,1076.7659052150043,1076.6508631728868,0.030367398369248233,1165.0016465840235,1176.4046223958326,1167.1510336308897,1162.5396325060522,1152.5668176015192,1.1153635458279254
FT-076,1076.70024884105,1076.7625959678257,1076.6463274354337,0.03094262764421488,1212.7298144435597,1251.1490926434903,1215.2321951852618,1209.9909453942582,1194.3964262931574,1.275060245925924
FT-077,1077.705946239623,1077.7685634453721,1077.6520562041094,0.0312999075267044,1212.451251396288,1244.5920870381033,1214.768238466988,1209.9249993158323,1196.2741310365736,1.2097870013554028
FT-078,1077.205728818574,1077.2697492713135,1077.1507175425947,0.0315129711684634,1164.9081193819106,1176.015186999219,1167.3114262247207,1162.4987461160683,1152.201798220714,1.193687829900949
FT-079,1077.2093617269695,1077.2780627278853,1077.1457095383691,0.03382112980848101,1186.4594094558372,1193.3994246262791,1189.5073639083237,1183.6673357354396,1179.0351316011868,1.4609631651882213
FT-080,1077.2019763854523,1077.2646319544158,1077.148303148349,0.03109745335143662,1212.614388815364,1250.3539242951745,1214.840334866664,1209.9427795653692,1195.7557470902184,1.2170096262148367
FT-081,1225.305158770853,1225.3832054372315,1225.2410924925239,0.035399762572662634,1299.0897146683544,1313.3628153538991,1301.2456247303928,1296.385905406942,1286.5537450601764,1.2777931470134285
FT-082,815.19145248803,815.2391948284286,815.1516278485828,0.023238370367476557,1299.3902606601064,1316.9471285420052,1301.4809187367064,1296.7242527442668,1285.1505845592858,1.2686655490251988
FT-083,1224.8042649657891,1224.876041896912,1224.7402364071952,0.03463383167228246,1299.2791674223465,1319.7385787963844,1301.3711060851224,1296.8268813897419,1284.575736753402,1.1919579319799927
FT-084,1224.2978759761004,1224.3667494540175,1224.2365630785657,0.03558381233624333,1257.7376008872648,1268.2375238108073,1259.5745263285505,1255.5683653972703,1246.9722095755653,1.100626009489861
FT-085,1224.2975971419808,1224.3676798771355,1224.2360970656302,0.0338887890806766,1299.5622354883926,1326.7008043924968,1301.6533649016437,1297.2715763988908,1284.4157231648746,1.108347628423208
